title	Label1	Label2	Label3
Abel_Tasman	subject.People.Geographers_and_explorers	None	None
Aberdeen	subject.Geography.Geography_of_Great_Britain	None	None
Aberration_of_light	subject.Science.Physics.General_Physics	None	None
Aberystwyth	subject.Geography.Geography_of_Great_Britain	None	None
Abhidhamma_Pitaka	subject.Religion.Religious_texts	None	None
Abidjan	subject.Geography.African_Geography	None	None
Abkhazia	subject.Geography.Geography_of_Asia.Asian_Countries	subject.Countries	None
Able_Archer_83	subject.History.Military_History_and_War	None	None
Abraham_Goldfaden	subject.People.Writers_and_critics	None	None
Abraham_Lincoln	subject.People.USA_Presidents	None	None
Absinthe	subject.Everyday_life.Drink	None	None
Absolute_zero	subject.Science.Physics.General_Physics	None	None
Abstract_art	subject.Art.Art	None	None
Abu_Dhabi	subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries	subject.Countries	None
Abuja	subject.Geography.African_Geography	None	None
Acceleration	subject.Science.Physics.General_Physics	None	None
Accountancy	subject.Business_Studies.Business	None	None
Accra	subject.Geography.African_Geography	None	None
Acetic_acid	subject.Science.Chemistry.Chemical_compounds	None	None
Acetone	subject.Science.Chemistry.Chemical_compounds	None	None
Achilles	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Achilles_tendon	subject.Science.Biology.Health_and_medicine	None	None
Acid_rain	subject.Geography.General_Geography	subject.Citizenship.Environment	None
Acorn_Computers	subject.Business_Studies.Companies	subject.IT.Computing_hardware_and_infrastructure	None
Actinium	subject.Science.Chemistry.Chemical_elements	None	None
Action_potential	subject.Science.Biology.General_Biology	None	None
Actor	subject.Language_and_literature.Theatre	None	None
Acts_of_Union_1707	subject.History.British_History.British_History_15001750	None	None
Actuary	subject.Business_Studies.Economics	None	None
Adam_Smith	subject.Business_Studies.Economics	subject.People.Historical_figures	None
Addis_Ababa	subject.Geography.African_Geography	None	None
Adelaide	subject.Geography.Geography_of_Oceania_Australasia	None	None
Adenosine_triphosphate	subject.Science.Chemistry.Chemical_compounds	None	None
Adi_Shankara	subject.People.Religious_figures_and_leaders	None	None
Adolf_Hitler	subject.People.Political_People	None	None
Adriaen_van_der_Donck	subject.People.Historical_figures	None	None
Advertising	subject.Business_Studies.Business	subject.Everyday_life.Everyday_life	None
Aesthetics	subject.Science.Biology.Health_and_medicine	None	None
Afghan_Hound	subject.Science.Biology.Mammals	None	None
Afghanistan	subject.Countries	subject.Geography.Geography_of_Asia.Asian_Countries	None
Africa	subject.Geography.African_Geography	None	None
African_American_literature	subject.Language_and_literature.Literature_types	None	None
African_Black_Oystercatcher	subject.Science.Biology.Birds	None	None
African_Brush-tailed_Porcupine	subject.Science.Biology.Mammals	None	None
African_Buffalo	subject.Science.Biology.Mammals	None	None
African_Darter	subject.Science.Biology.Birds	None	None
African_Great_Lakes	subject.Geography.African_Geography	None	None
African_Grey_Hornbill	subject.Science.Biology.Birds	None	None
African_Grey_Parrot	subject.Science.Biology.Birds	None	None
African_Jacana	subject.Science.Biology.Birds	None	None
African_Penguin	subject.Science.Biology.Birds	None	None
African_Union	subject.Citizenship.Politics_and_government	None	None
African_Wild_Dog	subject.Science.Biology.Mammals	None	None
African_clawed_frog	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
African_dwarf_frog	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
African_slave_trade	subject.History.General_history	None	None
Afrikaans	subject.Language_and_literature.Languages	None	None
Agamemnon	subject.People.Historical_figures	None	None
Age_of_Enlightenment	subject.Religion.Philosophy	None	None
Aggregator	subject.IT.Websites_and_the_Internet	None	None
Agnosticism	subject.Religion.Philosophy	None	None
Agriculture	subject.Everyday_life.Food_and_agriculture	None	None
Airbus	subject.Design_and_Technology.Air_and_Sea_transport	None	None
Airbus_A380	subject.Design_and_Technology.Air_and_Sea_transport	None	None
Aircraft	subject.Design_and_Technology.Air_and_Sea_transport	None	None
Aircraft_carrier	subject.Design_and_Technology.Air_and_Sea_transport	None	None
Airship	subject.Design_and_Technology.Air_and_Sea_transport	None	None
Ajax_%28programming%29	subject.IT.Computer_Programming	None	None
Akbar	subject.People.Historical_figures	None	None
Akhenaten	subject.People.Historical_figures	subject.History.Ancient_History_Classical_History_and_Mythology	None
Akira_Kurosawa	subject.People.Producers_directors_and_media_figures	None	None
Akkadian_Empire	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Akrotiri_and_Dhekelia	subject.Geography.European_Geography	None	None
Aksumite_currency	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Al_Jazeera	subject.Citizenship.Media	subject.Citizenship.Politics_and_government	None
Alamosaurus	subject.Science.Biology.Dinosaurs	None	None
Alan_Turing	subject.People.Mathematicians	None	None
Albania	subject.Geography.European_Geography.European_Countries	subject.Countries	None
Albatross	subject.Science.Biology.Birds	None	None
Albert_Einstein	subject.People.Astronomers_and_physicists	None	None
Alberto_Santos-Dumont	subject.People.Engineers_and_inventors	None	None
Albertosaurus	subject.Science.Biology.Dinosaurs	None	None
Albigensian_Crusade	subject.History.Pre_1900_Military	subject.Religion.Religious_disputes	None
Albinism	subject.Science.Biology.Health_and_medicine	None	None
Albrecht_D%C3%BCrer	subject.People.Mathematicians	None	None
Albrecht_Rodenbach	subject.People.Writers_and_critics	None	None
Alchemy	subject.Science.Chemistry.General_Chemistry	None	None
Alcibiades	subject.History.Ancient_History_Classical_History_and_Mythology	subject.People.Historical_figures	None
Alcohol	subject.Science.Chemistry.General_Chemistry	None	None
Aleksandr_Pushkin	subject.People.Writers_and_critics	None	None
Aleksandr_Vasilevsky	subject.People.Military_People	None	None
Aleksey_Arakcheyev	subject.People.Historical_figures	None	None
Alexander_Graham_Bell	subject.People.Engineers_and_inventors	None	None
Alexander_Hamilton	subject.People.Historical_figures	None	None
Alexander_the_Great	subject.People.Military_People	None	None
Alfred_Hitchcock	subject.People.Producers_directors_and_media_figures	None	None
Alfred_Nobel	subject.People.Chemists	None	None
Alfred_the_Great	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	subject.People.Military_People	subject.People.Monarchs_of_Great_Britain
Algebra	subject.Mathematics	None	None
Algeria	subject.Geography.African_Geography.African_Countries	subject.Countries	None
Algerian_Civil_War	subject.History.Military_History_and_War	None	None
Algiers	subject.Geography.African_Geography	None	None
Algol	subject.Science.Physics.Space_Astronomy	None	None
Algoma_Central_Railway	subject.Design_and_Technology.Railway_transport	None	None
Algorithm	subject.Mathematics	None	None
Alice%27s_Adventures_in_Wonderland	subject.Language_and_literature.Novels	None	None
All_Blacks	subject.Everyday_life.Sports_teams	None	None
All_You_Need_Is_Love_%28The_JAMs_song%29	subject.Music.Musical_Recordings_and_compositions	None	None
All_your_base_are_belong_to_us	subject.IT.Websites_and_the_Internet	None	None
Allah	subject.Religion.Divinities	None	None
Allegory_in_the_Middle_Ages	subject.Religion.Religious_texts	None	None
Alligator	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Alliterative_verse	subject.Language_and_literature.Poetry_and_Opera	None	None
Allosaurus	subject.Science.Biology.Dinosaurs	None	None
Almaty	subject.Geography.Geography_of_Asia	None	None
Almond	subject.Everyday_life.Food_and_agriculture	subject.Science.Biology.Plants	None
Alpaca	subject.Science.Biology.Mammals	None	None
Alphabet	subject.Language_and_literature.Linguistics	None	None
Alternating_current	subject.Design_and_Technology.Engineering	None	None
Alternation_of_generations	subject.Science.Biology.General_Biology	None	None
Alternative_rock	subject.Music.Musical_genres_styles_eras_and_events	None	None
Aluminium	subject.Science.Chemistry.Chemical_elements	None	None
Aluminium_chloride	subject.Science.Chemistry.Chemical_compounds	None	None
Alzheimer%27s_disease	subject.Science.Biology.Health_and_medicine	None	None
Amaranth_oil	subject.Science.Biology.Plants	None	None
Amarillo%2C_Texas	subject.Geography.North_American_Geography	None	None
Amazon_Basin	subject.Geography.Central_and_South_American_Geography	None	None
Amazon_Rainforest	subject.Geography.Central_and_South_American_Geography	None	None
Amazon_River	subject.Geography.Central_and_South_American_Geography	None	None
Amazon_parrot	subject.Science.Biology.Birds	None	None
Amber	subject.Geography.Mineralogy	None	None
Amda_Seyon_I	subject.People.Historical_figures	None	None
American_Civil_War	subject.History.Pre_1900_Military	None	None
American_English	subject.Language_and_literature.Languages	None	None
American_Revolutionary_War	subject.History.Pre_1900_Military	None	None
American_Samoa	subject.Geography.Geography_of_Oceania_Australasia	None	None
American_football	subject.Everyday_life.Sports	None	None
American_popular_music	subject.Music.Musical_genres_styles_eras_and_events	None	None
Americium	subject.Science.Chemistry.Chemical_elements	None	None
Amish	subject.Geography.Peoples	None	None
Ammolite	subject.Geography.Mineralogy	None	None
Ammonia	subject.Science.Chemistry.Chemical_compounds	None	None
Ammonite	subject.Geography.Mineralogy	None	None
Ammosaurus	subject.Science.Biology.Dinosaurs	None	None
Amsterdam	subject.Geography.European_Geography	None	None
Amtrak	subject.Design_and_Technology.Railway_transport	None	None
Amur	subject.Geography.Geography_of_Asia	None	None
Anaconda	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Analytical_Marxism	subject.Religion.Philosophy	None	None
Anarchism	subject.Religion.Philosophy	None	None
Anarcho-capitalism	subject.Citizenship.Politics_and_government	None	None
Anatomy	subject.Science.Biology.General_Biology	None	None
Ancient_Egypt	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Ancient_Greece	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Ancient_Rome	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Ancient_history	subject.History.General_history	None	None
Andes	subject.Geography.Central_and_South_American_Geography	None	None
Andorra	subject.Countries	subject.Geography.European_Geography.European_Countries	None
Andr%C3%A9s_Nocioni	subject.People.Sports_and_games_people	None	None
Andrew_Carnegie	subject.People.Engineers_and_inventors	None	None
Andrew_Dickson_White	subject.People.Political_People	None	None
Andrew_Gonzalez	subject.People.Writers_and_critics	None	None
Andrew_Jackson	subject.People.USA_Presidents	None	None
Andrew_Johnson	subject.People.USA_Presidents	None	None
Andrew_Robinson	subject.People.Actors_models_and_celebrities	None	None
Andriyivskyy_Descent	subject.Geography.Geography_of_Asia	None	None
Andromeda_Galaxy	subject.Science.Physics.Space_Astronomy	None	None
Andy_Warhol	subject.People.Artists	None	None
Anemia	subject.Science.Biology.Health_and_medicine	None	None
Angel_shark	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Angelica	subject.Science.Biology.Plants	None	None
Angkor	subject.Geography.African_Geography	None	None
Angkor_Wat	subject.Design_and_Technology.Architecture	None	None
Anglican_Church_of_Australia	subject.Religion.Religious_movements_traditions_and_organizations	None	None
Anglican_Communion	subject.Religion.Religious_movements_traditions_and_organizations	None	None
Anglicanism	subject.Religion.Religious_movements_traditions_and_organizations	None	None
Anglo-Saxon_literature	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	subject.Language_and_literature.Literature_types	None
Angola	subject.Geography.African_Geography.African_Countries	subject.Countries	None
Anguilla	subject.Countries	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	None
Animal	subject.Science.Biology.General_Biology	None	None
Animal_law	subject.Citizenship.Animal_and_Human_Rights	None	None
Animal_rights	subject.Citizenship.Animal_and_Human_Rights	None	None
Animation	subject.Everyday_life.Computer_and_Video_games	subject.Everyday_life.Films	None
Ankylosaurus	subject.Science.Biology.Dinosaurs	None	None
Ann_Arbor%2C_Michigan	subject.Geography.North_American_Geography	None	None
Anna_Karenina	subject.Language_and_literature.Novels	None	None
Anne_Frank	subject.People.Writers_and_critics	None	None
Anne_of_Great_Britain	subject.People.Monarchs_of_Great_Britain	subject.History.British_History.British_History_15001750	None
Annibale_Bugnini	subject.People.Religious_figures_and_leaders	None	None
Anno_Domini	subject.History.General_history	None	None
Anschluss	subject.History.Recent_History	subject.History.World_War_II	None
Ant	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Antananarivo	subject.Geography.African_Geography	None	None
Antarctic_Treaty_System	subject.Geography.Antarctica	None	None
Antarctic_krill	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Antarctica	subject.Geography.Antarctica	None	None
Antarctosaurus	subject.Science.Biology.Dinosaurs	None	None
Anteater	subject.Science.Biology.Mammals	None	None
Antelope	subject.Science.Biology.Mammals	None	None
Anthony_van_Dyck	subject.People.Artists	None	None
Anthropology	subject.Geography.Peoples	None	None
Antigua_and_Barbuda	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	subject.Countries	None
Antimony	subject.Science.Chemistry.Chemical_elements	None	None
Antlion	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Antoine_Lavoisier	subject.People.Chemists	None	None
Anton%C3%ADn_Dvo%C5%99%C3%A1k	subject.People.Performers_and_composers	None	None
Anton_Alexander_von_Werner	subject.People.Artists	None	None
Antonio_Vivaldi	subject.People.Performers_and_composers	None	None
Antwerp	subject.Geography.European_Geography	None	None
Apaochi	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Apatosaurus	subject.Science.Biology.Dinosaurs	None	None
Ape	subject.Science.Biology.Mammals	None	None
Aphid	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Apollo	subject.Religion.Divinities	None	None
Apollo_11	subject.Science.Physics.Space_transport	None	None
Apollo_8	subject.Science.Physics.Space_transport	None	None
Apostolic_Succession	subject.Religion.Religious_disputes	None	None
Apple	subject.Everyday_life.Food_and_agriculture	None	None
Applied_mathematics	subject.Mathematics	None	None
Apricot	subject.Everyday_life.Food_and_agriculture	None	None
Aquarium	subject.Everyday_life.Everyday_life	subject.Science.Biology.General_Biology	None
Arab-Israeli_conflict	subject.Citizenship.Conflict_and_Peace	None	None
Arab_League	subject.Citizenship.Politics_and_government	None	None
Arabic_language	subject.Language_and_literature.Languages	None	None
Arable_land	subject.Everyday_life.Food_and_agriculture	None	None
Aradia%2C_or_the_Gospel_of_the_Witches	subject.Language_and_literature.General_Literature	None	None
Aral_Sea	subject.Geography.General_Geography	None	None
Arcadia_%28play%29	subject.Language_and_literature.Theatre	None	None
Archaeoastronomy	subject.Science.Physics.Space_Astronomy	None	None
Archaeology	subject.History.Archaeology	None	None
Archaeopteryx	subject.Science.Biology.Birds	None	None
Archbishop_of_Canterbury	subject.People.Religious_figures_and_leaders	None	None
Archimedes	subject.People.Mathematicians	None	None
Architecture	subject.Design_and_Technology.Architecture	None	None
Architecture_of_Windows_NT	subject.IT.Software	None	None
Architecture_of_the_California_missions	subject.Design_and_Technology.Architecture	None	None
Arctic	subject.Geography.General_Geography	None	None
Arctic_Circle	subject.Geography.General_Geography	None	None
Arctic_Monkeys	subject.Music.Performers_and_composers	None	None
Arctic_Ocean	subject.Geography.General_Geography	None	None
Arctic_Tern	subject.Science.Biology.Birds	None	None
Arecaceae	subject.Science.Biology.Plants	None	None
Argan	subject.Science.Biology.Plants	None	None
Argentina	subject.Countries	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	None
Argon	subject.Science.Chemistry.Chemical_elements	None	None
Argyle_diamond_mine	subject.Geography.Geography_of_Oceania_Australasia	None	None
Ariel_Sharon	subject.People.Political_People	None	None
Aristarchus_%28crater%29	subject.Science.Physics.Space_Astronomy	None	None
Aristotle	subject.People.Philosophers	None	None
Arithmetic	subject.Mathematics	None	None
Armadillo	subject.Science.Biology.Mammals	None	None
Armand_Jean_du_Plessis%2C_Cardinal_Richelieu	subject.People.Historical_figures	None	None
Armenia	subject.Geography.European_Geography.European_Countries	subject.Countries	None
Armia_Krajowa	subject.People.Political_People	None	None
Arnold_Schwarzenegger	subject.People.Producers_directors_and_media_figures	None	None
Arp2_3_complex	subject.Science.Biology.General_Biology	None	None
Ars_moriendi	subject.History.General_history	None	None
Arsenal_F.C.	subject.Everyday_life.Sports_teams	None	None
Arsenic	subject.Science.Chemistry.Chemical_elements	None	None
Art	subject.Art.Art	None	None
Arthropod	subject.Science.Biology.General_Biology	None	None
Arthur_Ernest_Percival	subject.People.Military_People	None	None
Arthur_Sullivan	subject.People.Writers_and_critics	subject.History.British_History.British_History_17501900	None
Arthur_Upfield	subject.People.Writers_and_critics	None	None
Arthur_Wellesley%2C_1st_Duke_of_Wellington	subject.History.British_History.British_History_17501900	subject.People.Military_People	None
Arts_and_crafts	subject.Art.Art	None	None
Aruba	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	subject.Countries	None
Arugula	subject.Everyday_life.Food_and_agriculture	None	None
Ascariasis	subject.Science.Biology.Health_and_medicine	None	None
Asia	subject.Geography.Geography_of_Asia	None	None
Asp_%28reptile%29	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Asparagus	subject.Everyday_life.Food_and_agriculture	None	None
Asperger_syndrome	subject.Science.Biology.Health_and_medicine	None	None
Assyria	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Astatine	subject.Science.Chemistry.Chemical_elements	None	None
Asteroid	subject.Science.Physics.Space_Astronomy	None	None
Asthma	subject.Science.Biology.Health_and_medicine	None	None
Astrology	subject.Everyday_life.Recreation	None	None
Astronomy	subject.Science.Physics.Space_Astronomy	None	None
Astrophysics_Data_System	subject.Science.Physics.Space_Astronomy	None	None
Asunci%C3%B3n	subject.Geography.Central_and_South_American_Geography	None	None
Ateneo_de_Manila_University	subject.Geography.Central_and_South_American_Geography	None	None
Athanasius_Kircher	subject.History.Historians_chroniclers_and_history_books	subject.People.Human_Scientists	None
Atheism	subject.Religion.Philosophy	None	None
Athena	subject.Religion.Divinities	None	None
Athens	subject.Geography.European_Geography	None	None
Athletics_%28track_and_field%29	subject.Everyday_life.Sports	None	None
Atlanta%2C_Georgia	subject.Geography.North_American_Geography	None	None
Atlantic_Coast_Line_Railroad	subject.Design_and_Technology.Railway_transport	None	None
Atlantic_Ocean	subject.Geography.General_Geography	None	None
Atlantic_herring	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Atlantic_slave_trade	subject.History.British_History.British_History_17501900	None	None
Atlantis	subject.Religion.Myths	None	None
Atom	subject.Science.Chemistry.General_Chemistry	None	None
Atonality	subject.Music.Musical_genres_styles_eras_and_events	None	None
Attack_on_Pearl_Harbor	subject.History.World_War_II	None	None
Attalus_I	subject.People.Historical_figures	None	None
Attention-deficit_hyperactivity_disorder	subject.Science.Biology.Health_and_medicine	None	None
Attila_the_Hun	subject.People.Military_People	subject.People.Historical_figures	None
Auckland	subject.Geography.Geography_of_Oceania_Australasia	None	None
Augusta%2C_Lady_Gregory	subject.Language_and_literature.Theatre	subject.People.Writers_and_critics	None
Augustan_literature	subject.Language_and_literature.Literature_types	None	None
Auguste_Rodin	subject.People.Artists	None	None
Augustine_of_Hippo	subject.People.Religious_figures_and_leaders	None	None
Augustus	subject.People.Historical_figures	None	None
Australia	subject.Geography.Geography_of_Oceania_Australasia	subject.Countries	None
Australian_English	subject.Language_and_literature.Languages	None	None
Australian_Green_Tree_Frog	subject.Science.Biology.Insects_Reptiles_and_Fish	None	None
Australian_Open	subject.Everyday_life.Sports_events	None	None
Australian_Ringneck	subject.Science.Biology.Birds	None	None
Australian_constitutional_law	subject.Geography.Geography_of_Oceania_Australasia	None	None
Australian_rules_football	subject.Everyday_life.Sports	None	None
Austria	subject.Countries	subject.Geography.European_Geography.European_Countries	None
Autism	subject.Science.Biology.Health_and_medicine	None	None
Auto_racing	subject.Everyday_life.Sports	None	None
Autobianchi_Primula	subject.Science.Biology.Plants	None	None
Autocracy	subject.Citizenship.Politics_and_government	None	None
Automated_teller_machine	subject.Design_and_Technology.Engineering	None	None
Automatic_number_plate_recognition	subject.Design_and_Technology.Road_transport	None	None
Automobile	subject.Design_and_Technology.Road_transport	None	None
Autorack	subject.Design_and_Technology.Railway_transport	None	None
Autostereogram	subject.Science.Biology.Health_and_medicine	None	None
Autumn	subject.Geography.Climate_and_the_Weather	None	None
Avacha_Volcano	subject.Geography.Geography_of_Asia	None	None
Avalanche	subject.Geography.Natural_Disasters	None	None
Avatar__The_Last_Airbender	subject.Everyday_life.Television	None	None
Avocado	subject.Everyday_life.Food_and_agriculture	subject.Science.Biology.Plants	None
Avon_Gorge	subject.Geography.Geography_of_Great_Britain	None	None
Avro_Lancaster	subject.Design_and_Technology.Air_and_Sea_transport	subject.History.World_War_II	None
Axe	subject.Design_and_Technology.Engineering	None	None
Ayaan_Hirsi_Ali	subject.People.Political_People	None	None
Aye-aye	subject.Science.Biology.Mammals	None	None
Aymer_de_Valence%2C_2nd_Earl_of_Pembroke	subject.People.Historical_figures	None	None
Azerbaijan	subject.Geography.European_Geography.European_Countries	subject.Countries	None
Azerbaijani_people	subject.Geography.Peoples	None	None
Aztec	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
BAE_Systems	subject.Business_Studies.Companies	None	None
BASIC	subject.IT.Computer_Programming	None	None
BBC	subject.Citizenship.Media	subject.Everyday_life.Television	None
BBC_television_drama	subject.Everyday_life.Television	None	None
BP	subject.Business_Studies.Companies	None	None
BT_Tower	subject.Design_and_Technology.Architecture	None	None
B_vitamins	subject.Science.Biology.Health_and_medicine	None	None
Babe_Ruth	subject.People.Sports_and_games_people	None	None
Baboon	subject.Science.Biology.Mammals	None	None
Babur	subject.History.Ancient_History_Classical_History_and_Mythology	subject.People.Historical_figures	None
Baby_Gender_Mentor	subject.Science.Biology.Health_and_medicine	None	None
Babylonia	subject.History.Ancient_History_Classical_History_and_Mythology	None	None
Backgammon	subject.Everyday_life.Games	None	None
Bacteria	subject.Science.Biology.Organisms	None	None
Baden-Powell_House	subject.Citizenship.Community_organisations	None	None
Badger	subject.Science.Biology.Mammals	None	None
Badminton	subject.Everyday_life.Sports	None	None
Baghdad	subject.Geography.Geography_of_the_Middle_East	None	None
Bah%C3%A1%27%C3%AD_Faith	subject.Religion.Religious_movements_traditions_and_organizations	None	None
Bahamas	subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries	subject.Countries	None
Bahrain	subject.Countries	subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries	None
Baker_Island	subject.Geography.Geography_of_Oceania_Australasia	None	None
Bald_Eagle	subject.Science.Biology.Birds	None	None
Baltic_Sea	subject.Geography.General_Geography	None	None
Baltimore%2C_Maryland	subject.Geography.North_American_Geography	None	None
Bamako	subject.Geography.African_Geography	None	None
Banana	subject.Everyday_life.Food_and_agriculture	None	None
Bandicoot	subject.Science.Biology.Mammals	None	None
Bangalore	subject.Geography.Geography_of_Asia	None	None
Bangkok	subject.Geography.Geography_of_Asia	None	None
Bangladesh	subject.Geography.Geography_of_Asia.Asian_Countries	subject.Countries	None
Banjul	subject.Geography.African_Geography	None	None
Bank_of_China_%28Hong_Kong%29	subject.Business_Studies.Companies	None	None
Banknote	subject.Business_Studies.Currency	None	None
